#,Name,Price,Year,Mile,Desc,Image
1,"Toyota Avensis 1 поколение [рестайлинг] Хетчбэк , 2002",5107$ ,2002,166000 км,"Хэтчбек,
                                        синий,
                                        1.8 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/gyHR0L3030POjYMWHJcdiw/1080x-/20230131/2812e866f7e91ad5fb93743a5ab29b71.jpg
2,"BMW 5 серия E60/E61 [рестайлинг] Седан , 2010",14200$ ,2010,248000 км,"Седан,
                                        серебряный,
                                        3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/TgFHHljubRRdxsahCYNktg/1080x-/20230108/00a0cff9afe4cbdfbdd89bf0cc6fc7a4.jpg
3,"Audi 80 B2 Седан 4-дв. , 1985",1234$ ,1985,134000 км,"Седан,
                                        бордовый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/AOi7dkFBC7krPF0IK7SNRg/1080x-/20230109/baf4c88fcfbd640119d2bdacf4702606.jpg
4,"ИЖ 412 1 поколение [2-й рестайлинг] Седан , 1984",1234$ ,1984,122000 км,"Седан,
                                        бежевый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/_UV2MftERSckeKjmd5glbw/1080x-/20230109/31f6613bc2039e7e89f9aa4fe5cb3c60.jpg
5,"Honda CR-V 4 поколение Кроссовер , 2014",16000$ ,2014,227000 км,"Кроссовер,
                                        черный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/EB0Bn3di3QFUc7DXmeRIFg/1080x-/20230130/afce9215ba44a9c28abdba810fa8b531.jpg
6,"Toyota Land Cruiser J200 Внедорожник , 2011",35900$ ,2011,203000 км,"Внедорожник / Пикап,
                                                    4.5 л.,
                                                    дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/a0d8y3I5ZsIa-qA7cpcs0g/1080x-/20230127/cf1633647602a5576905cbe532612f41.jpg
7,"SsangYong Rexton 3 поколение W внедорожник , 2016",26500$ ,2016,117000 км,"Внедорожник / Пикап,
                                        серебряный,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,",No picture
8,"Volkswagen Passat B3 Универсал , 1989",1741$ ,1989,308000 км,"Универсал,
                                        серебряный,
                                        1.8 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/FeQ-5sUd0ePjK4XfP8-dPA/1080x-/20230131/718a1db41582e6a966dd2a1b6de83323.jpg
9,"Honda Civic 7 поколение Хетчбэк 5-дв. , 2001",5223$ ,2001,,"Хэтчбек,
                                        белый,
                                        1.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/PCxAMjaqf0yz9BEiXd2Pnw/1080x-/20230105/10f06ce3a9c1659b75f32a773d1f0e6d.jpg
10,"Honda Fit 1 поколение Хетчбэк , 2006",8500$ ,2006,115000 км,"Хэтчбек,
                                        белый,
                                        1.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/w0m8otlsPgzBgrHVcLe4AQ/1080x-/20230130/95474aee5aceaa0790085426d9c22917.jpg
11,"Daewoo Damas , 1997",2$ ,1997,,"Минивэн / Бус,
                                        фиолетовый,
                                                    левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/Q5b2GZoKFQAZBYcVLYZIgw/1080x-/20230130/cc8cb1c45f4e8567204179f044d898ab.jpeg
